"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"Valgdeltakelse 2019 Begge kjønn"
"1103 Stavanger";"18-19 år";62.3
"1106 Haugesund";"18-19 år";53.9
"1108 Sandnes";"18-19 år";57.3
"1111 Sokndal";"18-19 år";60.3
"1112 Lund";"18-19 år";45.9
"1114 Bjerkreim";"18-19 år";75.9
"1119 Hå";"18-19 år";59.7
"1120 Klepp";"18-19 år";57.8
"1121 Time";"18-19 år";64.1
"1122 Gjesdal";"18-19 år";57.7
"1124 Sola";"18-19 år";60.5
"1127 Randaberg";"18-19 år";63.9
"1130 Strand";"18-19 år";57.9
"1133 Hjelmeland";"18-19 år";51.5
"1134 Suldal";"18-19 år";42.6
"1135 Sauda";"18-19 år";46.1
"1144 Kvitsøy";"18-19 år";:
"1145 Bokn";"18-19 år";:
"1146 Tysvær";"18-19 år";61.5
"1149 Karmøy";"18-19 år";50.8
"1151 Utsira";"18-19 år";:
"1160 Vindafjord";"18-19 år";54.1
"4601 Bergen";"18-19 år";66.2
"4602 Kinn";"18-19 år";48.6
"4611 Etne";"18-19 år";56.7
"4612 Sveio";"18-19 år";57.1
"4613 Bømlo";"18-19 år";59.7
"4614 Stord";"18-19 år";50.4
"4615 Fitjar";"18-19 år";58.1
"4616 Tysnes";"18-19 år";45.6
"4617 Kvinnherad";"18-19 år";54.3
"4618 Ullensvang";"18-19 år";51.3
"4619 Eidfjord";"18-19 år";:
"4620 Ulvik";"18-19 år";61.1
"4621 Voss";"18-19 år";59.6
"4622 Kvam";"18-19 år";61.3
"4623 Samnanger";"18-19 år";57.9
"4624 Bjørnafjorden";"18-19 år";67.8
"4625 Austevoll";"18-19 år";55.3
"4626 Øygarden";"18-19 år";59.4
"4627 Askøy";"18-19 år";60.2
"4628 Vaksdal";"18-19 år";59.8
"4629 Modalen";"18-19 år";:
"4630 Osterøy";"18-19 år";66.7
"4631 Alver";"18-19 år";63.2
"4632 Austrheim";"18-19 år";53.0
"4633 Fedje";"18-19 år";:
"4634 Masfjorden";"18-19 år";63.4
"4635 Gulen";"18-19 år";46.3
"4636 Solund";"18-19 år";:
"4637 Hyllestad";"18-19 år";64.5
"4638 Høyanger";"18-19 år";55.8
"4639 Vik";"18-19 år";53.0
"4640 Sogndal";"18-19 år";61.6
"4641 Aurland";"18-19 år";66.7
"4642 Lærdal";"18-19 år";60.4
"4643 Årdal";"18-19 år";59.1
"4644 Luster";"18-19 år";63.7
"4645 Askvoll";"18-19 år";47.0
"4646 Fjaler";"18-19 år";61.2
"4647 Sunnfjord";"18-19 år";62.2
"4648 Bremanger";"18-19 år";53.1
"4649 Stad";"18-19 år";58.9
"4650 Gloppen";"18-19 år";55.7
"4651 Stryn";"18-19 år";50.5
"1505 Kristiansund";"18-19 år";45.8
"1506 Molde";"18-19 år";56.0
"1507 Ålesund";"18-19 år";56.4
"1511 Vanylven";"18-19 år";43.3
"1514 Sande (Møre og Romsdal)";"18-19 år";48.3
"1515 Herøy (Møre og Romsdal)";"18-19 år";51.1
"1516 Ulstein";"18-19 år";53.9
"1517 Hareid";"18-19 år";48.0
"1520 Ørsta";"18-19 år";53.3
"1525 Stranda";"18-19 år";59.6
"1528 Sykkylven";"18-19 år";66.7
"1531 Sula";"18-19 år";54.7
"1532 Giske";"18-19 år";54.3
"1535 Vestnes";"18-19 år";42.8
"1539 Rauma";"18-19 år";58.2
"1547 Aukra";"18-19 år";48.0
"1554 Averøy";"18-19 år";53.7
"1557 Gjemnes";"18-19 år";47.2
"1560 Tingvoll";"18-19 år";48.5
"1563 Sunndal";"18-19 år";60.8
"1566 Surnadal";"18-19 år";56.1
"1573 Smøla";"18-19 år";58.5
"1576 Aure";"18-19 år";47.3
"1577 Volda";"18-19 år";57.3
"1578 Fjord";"18-19 år";43.2
"1579 Hustadvika";"18-19 år";48.4
"5001 Trondheim";"18-19 år";64.1
"5006 Steinkjer";"18-19 år";54.3
"5007 Namsos";"18-19 år";48.9
"5014 Frøya";"18-19 år";52.8
"5020 Osen";"18-19 år";:
"5021 Oppdal";"18-19 år";61.3
"5022 Rennebu";"18-19 år";61.2
"5025 Røros";"18-19 år";61.8
"5026 Holtålen";"18-19 år";67.5
"5027 Midtre Gauldal";"18-19 år";54.7
"5028 Melhus";"18-19 år";60.3
"5029 Skaun";"18-19 år";59.6
