"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, utdanningsnivå, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"utdanningsnivå";"Valgdeltakelse 2019 Menn";"Valgdeltakelse 2019 Kvinner"
"3003 Sarpsborg";"Alder i alt";"Utdanningsnivå i alt";55.4;58.8
"3003 Sarpsborg";"Alder i alt";"Grunnskolenivå";42.1;47.4
"3003 Sarpsborg";"Alder i alt";"Videregående skolenivå";60.5;62.3
"3003 Sarpsborg";"Alder i alt";"Universitets- og høgskolenivå";72.9;72.2
"3003 Sarpsborg";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";14.9;22.1
"3003 Sarpsborg";"18-19 år";"Utdanningsnivå i alt";49.4;57.4
"3003 Sarpsborg";"18-19 år";"Grunnskolenivå";50.0;58.2
"3003 Sarpsborg";"18-19 år";"Videregående skolenivå";33.3;25.0
"3003 Sarpsborg";"18-19 år";"Universitets- og høgskolenivå";.;.
"3003 Sarpsborg";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;25.0
"3003 Sarpsborg";"20-24 år";"Utdanningsnivå i alt";32.5;43.7
"3003 Sarpsborg";"20-24 år";"Grunnskolenivå";25.7;30.5
"3003 Sarpsborg";"20-24 år";"Videregående skolenivå";37.3;47.6
"3003 Sarpsborg";"20-24 år";"Universitets- og høgskolenivå";:;:
"3003 Sarpsborg";"20-24 år";"Uoppgitt eller ingen fullført utdanning";15.2;18.0
"3003 Sarpsborg";"25-44 år";"Utdanningsnivå i alt";43.6;49.6
"3003 Sarpsborg";"25-44 år";"Grunnskolenivå";28.4;33.4
"3003 Sarpsborg";"25-44 år";"Videregående skolenivå";47.3;48.1
"3003 Sarpsborg";"25-44 år";"Universitets- og høgskolenivå";64.4;64.8
"3003 Sarpsborg";"25-44 år";"Uoppgitt eller ingen fullført utdanning";13.5;21.3
"3003 Sarpsborg";"45-66 år";"Utdanningsnivå i alt";62.0;65.0
"3003 Sarpsborg";"45-66 år";"Grunnskolenivå";48.1;52.0
"3003 Sarpsborg";"45-66 år";"Videregående skolenivå";66.2;66.8
"3003 Sarpsborg";"45-66 år";"Universitets- og høgskolenivå";77.4;79.4
"3003 Sarpsborg";"45-66 år";"Uoppgitt eller ingen fullført utdanning";17.0;23.2
"3003 Sarpsborg";"67-79 år";"Utdanningsnivå i alt";74.8;73.2
"3003 Sarpsborg";"67-79 år";"Grunnskolenivå";62.1;59.5
"3003 Sarpsborg";"67-79 år";"Videregående skolenivå";78.0;78.8
"3003 Sarpsborg";"67-79 år";"Universitets- og høgskolenivå";85.6;88.5
"3003 Sarpsborg";"67-79 år";"Uoppgitt eller ingen fullført utdanning";15.4;29.1
"3003 Sarpsborg";"80 år eller eldre";"Utdanningsnivå i alt";62.1;51.0
"3003 Sarpsborg";"80 år eller eldre";"Grunnskolenivå";50.0;43.4
"3003 Sarpsborg";"80 år eller eldre";"Videregående skolenivå";67.9;57.2
"3003 Sarpsborg";"80 år eller eldre";"Universitets- og høgskolenivå";75.9;66.7
"3003 Sarpsborg";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";36.4;17.9
"3004 Fredrikstad";"Alder i alt";"Utdanningsnivå i alt";55.9;59.9
"3004 Fredrikstad";"Alder i alt";"Grunnskolenivå";42.9;49.1
"3004 Fredrikstad";"Alder i alt";"Videregående skolenivå";58.5;61.0
"3004 Fredrikstad";"Alder i alt";"Universitets- og høgskolenivå";73.3;72.4
"3004 Fredrikstad";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";16.3;23.2
"3004 Fredrikstad";"18-19 år";"Utdanningsnivå i alt";49.9;64.6
"3004 Fredrikstad";"18-19 år";"Grunnskolenivå";50.9;65.6
"3004 Fredrikstad";"18-19 år";"Videregående skolenivå";33.3;57.1
"3004 Fredrikstad";"18-19 år";"Universitets- og høgskolenivå";.;.
"3004 Fredrikstad";"18-19 år";"Uoppgitt eller ingen fullført utdanning";11.1;6.7
"3004 Fredrikstad";"20-24 år";"Utdanningsnivå i alt";36.7;48.8
"3004 Fredrikstad";"20-24 år";"Grunnskolenivå";29.4;40.1
"3004 Fredrikstad";"20-24 år";"Videregående skolenivå";40.2;51.7
"3004 Fredrikstad";"20-24 år";"Universitets- og høgskolenivå";:;:
"3004 Fredrikstad";"20-24 år";"Uoppgitt eller ingen fullført utdanning";12.1;21.1
"3004 Fredrikstad";"25-44 år";"Utdanningsnivå i alt";43.4;50.7
"3004 Fredrikstad";"25-44 år";"Grunnskolenivå";30.4;36.2
"3004 Fredrikstad";"25-44 år";"Videregående skolenivå";43.6;45.4
"3004 Fredrikstad";"25-44 år";"Universitets- og høgskolenivå";63.1;64.5
"3004 Fredrikstad";"25-44 år";"Uoppgitt eller ingen fullført utdanning";15.0;21.2
"3004 Fredrikstad";"45-66 år";"Utdanningsnivå i alt";62.7;66.0
"3004 Fredrikstad";"45-66 år";"Grunnskolenivå";48.1;50.7
"3004 Fredrikstad";"45-66 år";"Videregående skolenivå";64.2;65.6
"3004 Fredrikstad";"45-66 år";"Universitets- og høgskolenivå";78.7;79.4
"3004 Fredrikstad";"45-66 år";"Uoppgitt eller ingen fullført utdanning";17.5;26.5
"3004 Fredrikstad";"67-79 år";"Utdanningsnivå i alt";74.1;71.6
"3004 Fredrikstad";"67-79 år";"Grunnskolenivå";62.0;61.0
"3004 Fredrikstad";"67-79 år";"Videregående skolenivå";74.7;74.3
"3004 Fredrikstad";"67-79 år";"Universitets- og høgskolenivå";85.9;83.7
"3004 Fredrikstad";"67-79 år";"Uoppgitt eller ingen fullført utdanning";26.1;29.2
"3004 Fredrikstad";"80 år eller eldre";"Utdanningsnivå i alt";62.0;50.7
"3004 Fredrikstad";"80 år eller eldre";"Grunnskolenivå";49.6;43.2
"3004 Fredrikstad";"80 år eller eldre";"Videregående skolenivå";67.2;55.7
"3004 Fredrikstad";"80 år eller eldre";"Universitets- og høgskolenivå";71.7;72.4
"3004 Fredrikstad";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";17.7;25.9
"3005 Drammen";"Alder i alt";"Utdanningsnivå i alt";58.7;62.9
"3005 Drammen";"Alder i alt";"Grunnskolenivå";45.7;50.3
"3005 Drammen";"Alder i alt";"Videregående skolenivå";62.9;66.6
"3005 Drammen";"Alder i alt";"Universitets- og høgskolenivå";76.2;75.5
"3005 Drammen";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";15.6;21.6
"3005 Drammen";"18-19 år";"Utdanningsnivå i alt";51.9;64.2
"3005 Drammen";"18-19 år";"Grunnskolenivå";52.9;65.6
