"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, utdanningsnivå, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"utdanningsnivå";"Valgdeltakelse 2019 Menn";"Valgdeltakelse 2019 Kvinner"
"3803 Tønsberg";"80 år eller eldre";"Grunnskolenivå";60.5;49.3
"3803 Tønsberg";"80 år eller eldre";"Videregående skolenivå";76.4;67.1
"3803 Tønsberg";"80 år eller eldre";"Universitets- og høgskolenivå";81.0;72.2
"3803 Tønsberg";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";46.2;37.5
"3804 Sandefjord";"Alder i alt";"Utdanningsnivå i alt";59.0;63.0
"3804 Sandefjord";"Alder i alt";"Grunnskolenivå";42.7;50.0
"3804 Sandefjord";"Alder i alt";"Videregående skolenivå";63.5;65.8
"3804 Sandefjord";"Alder i alt";"Universitets- og høgskolenivå";76.8;76.3
"3804 Sandefjord";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";15.8;23.1
"3804 Sandefjord";"18-19 år";"Utdanningsnivå i alt";48.6;61.5
"3804 Sandefjord";"18-19 år";"Grunnskolenivå";48.9;62.4
"3804 Sandefjord";"18-19 år";"Videregående skolenivå";50.0;.
"3804 Sandefjord";"18-19 år";"Universitets- og høgskolenivå";.;.
"3804 Sandefjord";"18-19 år";"Uoppgitt eller ingen fullført utdanning";31.3;..
"3804 Sandefjord";"20-24 år";"Utdanningsnivå i alt";35.3;46.0
"3804 Sandefjord";"20-24 år";"Grunnskolenivå";27.0;35.6
"3804 Sandefjord";"20-24 år";"Videregående skolenivå";41.2;50.3
"3804 Sandefjord";"20-24 år";"Universitets- og høgskolenivå";:;:
"3804 Sandefjord";"20-24 år";"Uoppgitt eller ingen fullført utdanning";12.3;12.9
"3804 Sandefjord";"25-44 år";"Utdanningsnivå i alt";45.1;52.4
"3804 Sandefjord";"25-44 år";"Grunnskolenivå";30.0;35.2
"3804 Sandefjord";"25-44 år";"Videregående skolenivå";49.3;49.9
"3804 Sandefjord";"25-44 år";"Universitets- og høgskolenivå";64.2;68.1
"3804 Sandefjord";"25-44 år";"Uoppgitt eller ingen fullført utdanning";13.3;21.8
"3804 Sandefjord";"45-66 år";"Utdanningsnivå i alt";66.9;69.3
"3804 Sandefjord";"45-66 år";"Grunnskolenivå";50.2;53.5
"3804 Sandefjord";"45-66 år";"Videregående skolenivå";69.5;70.8
"3804 Sandefjord";"45-66 år";"Universitets- og høgskolenivå";82.6;81.9
"3804 Sandefjord";"45-66 år";"Uoppgitt eller ingen fullført utdanning";17.4;26.5
"3804 Sandefjord";"67-79 år";"Utdanningsnivå i alt";78.7;77.7
"3804 Sandefjord";"67-79 år";"Grunnskolenivå";63.1;63.4
"3804 Sandefjord";"67-79 år";"Videregående skolenivå";80.1;80.3
"3804 Sandefjord";"67-79 år";"Universitets- og høgskolenivå";89.3;90.8
"3804 Sandefjord";"67-79 år";"Uoppgitt eller ingen fullført utdanning";25.4;37.7
"3804 Sandefjord";"80 år eller eldre";"Utdanningsnivå i alt";69.4;59.2
"3804 Sandefjord";"80 år eller eldre";"Grunnskolenivå";52.9;48.3
"3804 Sandefjord";"80 år eller eldre";"Videregående skolenivå";71.9;64.8
"3804 Sandefjord";"80 år eller eldre";"Universitets- og høgskolenivå";83.1;77.0
"3804 Sandefjord";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";53.3;20.0
"3805 Larvik";"Alder i alt";"Utdanningsnivå i alt";58.9;62.3
"3805 Larvik";"Alder i alt";"Grunnskolenivå";44.5;47.0
"3805 Larvik";"Alder i alt";"Videregående skolenivå";62.2;65.0
"3805 Larvik";"Alder i alt";"Universitets- og høgskolenivå";77.2;75.8
"3805 Larvik";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";14.6;23.6
"3805 Larvik";"18-19 år";"Utdanningsnivå i alt";45.4;55.3
"3805 Larvik";"18-19 år";"Grunnskolenivå";46.4;56.5
"3805 Larvik";"18-19 år";"Videregående skolenivå";.;..
"3805 Larvik";"18-19 år";"Universitets- og høgskolenivå";.;.
"3805 Larvik";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;..
"3805 Larvik";"20-24 år";"Utdanningsnivå i alt";35.3;38.6
"3805 Larvik";"20-24 år";"Grunnskolenivå";29.7;29.0
"3805 Larvik";"20-24 år";"Videregående skolenivå";38.2;40.8
"3805 Larvik";"20-24 år";"Universitets- og høgskolenivå";:;:
"3805 Larvik";"20-24 år";"Uoppgitt eller ingen fullført utdanning";17.2;25.0
"3805 Larvik";"25-44 år";"Utdanningsnivå i alt";44.7;52.2
"3805 Larvik";"25-44 år";"Grunnskolenivå";29.7;32.7
"3805 Larvik";"25-44 år";"Videregående skolenivå";47.0;49.2
"3805 Larvik";"25-44 år";"Universitets- og høgskolenivå";66.9;67.7
"3805 Larvik";"25-44 år";"Uoppgitt eller ingen fullført utdanning";11.2;19.8
"3805 Larvik";"45-66 år";"Utdanningsnivå i alt";65.8;68.9
"3805 Larvik";"45-66 år";"Grunnskolenivå";52.6;52.1
"3805 Larvik";"45-66 år";"Videregående skolenivå";67.3;69.7
"3805 Larvik";"45-66 år";"Universitets- og høgskolenivå";81.3;81.5
"3805 Larvik";"45-66 år";"Uoppgitt eller ingen fullført utdanning";18.4;30.8
"3805 Larvik";"67-79 år";"Utdanningsnivå i alt";78.5;77.0
"3805 Larvik";"67-79 år";"Grunnskolenivå";64.7;61.3
"3805 Larvik";"67-79 år";"Videregående skolenivå";79.7;79.6
"3805 Larvik";"67-79 år";"Universitets- og høgskolenivå";89.7;90.6
"3805 Larvik";"67-79 år";"Uoppgitt eller ingen fullført utdanning";20.0;22.7
"3805 Larvik";"80 år eller eldre";"Utdanningsnivå i alt";66.9;56.4
"3805 Larvik";"80 år eller eldre";"Grunnskolenivå";54.9;42.9
"3805 Larvik";"80 år eller eldre";"Videregående skolenivå";70.1;63.4
"3805 Larvik";"80 år eller eldre";"Universitets- og høgskolenivå";77.9;72.7
"3805 Larvik";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";40.0;50.0
"3806 Porsgrunn";"Alder i alt";"Utdanningsnivå i alt";58.9;62.4
"3806 Porsgrunn";"Alder i alt";"Grunnskolenivå";42.0;48.0
"3806 Porsgrunn";"Alder i alt";"Videregående skolenivå";61.0;63.5
"3806 Porsgrunn";"Alder i alt";"Universitets- og høgskolenivå";76.9;76.2
"3806 Porsgrunn";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";17.4;23.7
"3806 Porsgrunn";"18-19 år";"Utdanningsnivå i alt";47.5;63.2
"3806 Porsgrunn";"18-19 år";"Grunnskolenivå";48.1;63.8
"3806 Porsgrunn";"18-19 år";"Videregående skolenivå";..;..
"3806 Porsgrunn";"18-19 år";"Universitets- og høgskolenivå";.;.
"3806 Porsgrunn";"18-19 år";"Uoppgitt eller ingen fullført utdanning";14.3;20.0
"3806 Porsgrunn";"20-24 år";"Utdanningsnivå i alt";35.1;45.3
"3806 Porsgrunn";"20-24 år";"Grunnskolenivå";28.5;33.9
"3806 Porsgrunn";"20-24 år";"Videregående skolenivå";38.2;46.7
"3806 Porsgrunn";"20-24 år";"Universitets- og høgskolenivå";:;:
"3806 Porsgrunn";"20-24 år";"Uoppgitt eller ingen fullført utdanning";15.8;25.9
"3806 Porsgrunn";"25-44 år";"Utdanningsnivå i alt";48.6;56.0
"3806 Porsgrunn";"25-44 år";"Grunnskolenivå";30.1;34.7
"3806 Porsgrunn";"25-44 år";"Videregående skolenivå";48.6;52.0
"3806 Porsgrunn";"25-44 år";"Universitets- og høgskolenivå";67.9;69.5
"3806 Porsgrunn";"25-44 år";"Uoppgitt eller ingen fullført utdanning";19.7;24.1
"3806 Porsgrunn";"45-66 år";"Utdanningsnivå i alt";65.9;68.8
"3806 Porsgrunn";"45-66 år";"Grunnskolenivå";47.1;49.9
"3806 Porsgrunn";"45-66 år";"Videregående skolenivå";67.4;69.7
"3806 Porsgrunn";"45-66 år";"Universitets- og høgskolenivå";82.4;83.3
"3806 Porsgrunn";"45-66 år";"Uoppgitt eller ingen fullført utdanning";13.4;23.1
"3806 Porsgrunn";"67-79 år";"Utdanningsnivå i alt";75.1;72.1
"3806 Porsgrunn";"67-79 år";"Grunnskolenivå";58.0;56.4
"3806 Porsgrunn";"67-79 år";"Videregående skolenivå";76.1;76.5
"3806 Porsgrunn";"67-79 år";"Universitets- og høgskolenivå";88.3;88.2
"3806 Porsgrunn";"67-79 år";"Uoppgitt eller ingen fullført utdanning";27.3;21.6
"3806 Porsgrunn";"80 år eller eldre";"Utdanningsnivå i alt";63.2;51.5
"3806 Porsgrunn";"80 år eller eldre";"Grunnskolenivå";55.6;45.8
"3806 Porsgrunn";"80 år eller eldre";"Videregående skolenivå";63.1;53.5
"3806 Porsgrunn";"80 år eller eldre";"Universitets- og høgskolenivå";76.9;67.5
"3806 Porsgrunn";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";18.2;27.3
"3807 Skien";"Alder i alt";"Utdanningsnivå i alt";56.6;59.9
"3807 Skien";"Alder i alt";"Grunnskolenivå";40.0;44.4
"3807 Skien";"Alder i alt";"Videregående skolenivå";58.9;61.3
"3807 Skien";"Alder i alt";"Universitets- og høgskolenivå";76.6;74.8
"3807 Skien";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";15.2;22.0
"3807 Skien";"18-19 år";"Utdanningsnivå i alt";49.1;57.5
"3807 Skien";"18-19 år";"Grunnskolenivå";49.6;58.1
"3807 Skien";"18-19 år";"Videregående skolenivå";.;100.0
"3807 Skien";"18-19 år";"Universitets- og høgskolenivå";.;.
"3807 Skien";"18-19 år";"Uoppgitt eller ingen fullført utdanning";12.5;..
"3807 Skien";"20-24 år";"Utdanningsnivå i alt";33.4;42.7
"3807 Skien";"20-24 år";"Grunnskolenivå";25.5;31.0
"3807 Skien";"20-24 år";"Videregående skolenivå";38.4;46.2
"3807 Skien";"20-24 år";"Universitets- og høgskolenivå";:;:
"3807 Skien";"20-24 år";"Uoppgitt eller ingen fullført utdanning";6.7;15.7
"3807 Skien";"25-44 år";"Utdanningsnivå i alt";45.7;53.4
"3807 Skien";"25-44 år";"Grunnskolenivå";27.5;34.1
"3807 Skien";"25-44 år";"Videregående skolenivå";46.1;48.6
"3807 Skien";"25-44 år";"Universitets- og høgskolenivå";68.3;67.8
"3807 Skien";"25-44 år";"Uoppgitt eller ingen fullført utdanning";13.7;22.7
"3807 Skien";"45-66 år";"Utdanningsnivå i alt";63.1;66.2
"3807 Skien";"45-66 år";"Grunnskolenivå";46.6;48.3
"3807 Skien";"45-66 år";"Videregående skolenivå";63.7;66.4
"3807 Skien";"45-66 år";"Universitets- og høgskolenivå";80.5;80.9
"3807 Skien";"45-66 år";"Uoppgitt eller ingen fullført utdanning";16.3;24.1
"3807 Skien";"67-79 år";"Utdanningsnivå i alt";73.4;69.0
"3807 Skien";"67-79 år";"Grunnskolenivå";56.7;50.2
"3807 Skien";"67-79 år";"Videregående skolenivå";73.7;73.0
"3807 Skien";"67-79 år";"Universitets- og høgskolenivå";88.3;87.4
"3807 Skien";"67-79 år";"Uoppgitt eller ingen fullført utdanning";25.9;20.4
"3807 Skien";"80 år eller eldre";"Utdanningsnivå i alt";64.1;50.6
"3807 Skien";"80 år eller eldre";"Grunnskolenivå";49.2;40.1
"3807 Skien";"80 år eller eldre";"Videregående skolenivå";67.9;56.7
"3807 Skien";"80 år eller eldre";"Universitets- og høgskolenivå";80.0;71.8
"3807 Skien";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";16.7;16.7
"3808 Notodden";"Alder i alt";"Utdanningsnivå i alt";58.1;65.6
"3808 Notodden";"Alder i alt";"Grunnskolenivå";41.5;51.4
"3808 Notodden";"Alder i alt";"Videregående skolenivå";63.2;66.5
"3808 Notodden";"Alder i alt";"Universitets- og høgskolenivå";75.7;79.7
"3808 Notodden";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";19.1;31.2
"3808 Notodden";"18-19 år";"Utdanningsnivå i alt";45.7;68.8
"3808 Notodden";"18-19 år";"Grunnskolenivå";45.3;68.8
"3808 Notodden";"18-19 år";"Videregående skolenivå";100.0;.
"3808 Notodden";"18-19 år";"Universitets- og høgskolenivå";.;.
"3808 Notodden";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"3808 Notodden";"20-24 år";"Utdanningsnivå i alt";30.5;41.0
"3808 Notodden";"20-24 år";"Grunnskolenivå";26.0;32.6
"3808 Notodden";"20-24 år";"Videregående skolenivå";31.1;43.7
"3808 Notodden";"20-24 år";"Universitets- og høgskolenivå";:;:
"3808 Notodden";"20-24 år";"Uoppgitt eller ingen fullført utdanning";16.7;14.3
"3808 Notodden";"25-44 år";"Utdanningsnivå i alt";46.8;56.8
"3808 Notodden";"25-44 år";"Grunnskolenivå";32.4;38.0
"3808 Notodden";"25-44 år";"Videregående skolenivå";50.5;55.5
"3808 Notodden";"25-44 år";"Universitets- og høgskolenivå";64.0;71.4
"3808 Notodden";"25-44 år";"Uoppgitt eller ingen fullført utdanning";22.6;26.6
"3808 Notodden";"45-66 år";"Utdanningsnivå i alt";63.4;73.2
"3808 Notodden";"45-66 år";"Grunnskolenivå";42.9;56.1
"3808 Notodden";"45-66 år";"Videregående skolenivå";67.8;72.2
"3808 Notodden";"45-66 år";"Universitets- og høgskolenivå";80.8;85.8
"3808 Notodden";"45-66 år";"Uoppgitt eller ingen fullført utdanning";8.5;43.5
"3808 Notodden";"67-79 år";"Utdanningsnivå i alt";78.9;77.5
"3808 Notodden";"67-79 år";"Grunnskolenivå";63.2;62.6
"3808 Notodden";"67-79 år";"Videregående skolenivå";83.0;77.7
"3808 Notodden";"67-79 år";"Universitets- og høgskolenivå";89.5;95.0
"3808 Notodden";"67-79 år";"Uoppgitt eller ingen fullført utdanning";37.5;42.9
"3808 Notodden";"80 år eller eldre";"Utdanningsnivå i alt";64.8;57.2
"3808 Notodden";"80 år eller eldre";"Grunnskolenivå";47.2;47.3
"3808 Notodden";"80 år eller eldre";"Videregående skolenivå";72.4;62.8
"3808 Notodden";"80 år eller eldre";"Universitets- og høgskolenivå";79.7;85.2
"3808 Notodden";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";33.3;..
"3811 Færder";"Alder i alt";"Utdanningsnivå i alt";63.8;67.5
"3811 Færder";"Alder i alt";"Grunnskolenivå";45.6;49.6
"3811 Færder";"Alder i alt";"Videregående skolenivå";64.8;67.9
"3811 Færder";"Alder i alt";"Universitets- og høgskolenivå";79.4;79.6
"3811 Færder";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";15.5;21.2
"3811 Færder";"18-19 år";"Utdanningsnivå i alt";59.6;67.2
"3811 Færder";"18-19 år";"Grunnskolenivå";61.7;68.5
"3811 Færder";"18-19 år";"Videregående skolenivå";100.0;100.0
"3811 Færder";"18-19 år";"Universitets- og høgskolenivå";.;.
"3811 Færder";"18-19 år";"Uoppgitt eller ingen fullført utdanning";6.7;12.5
"3811 Færder";"20-24 år";"Utdanningsnivå i alt";36.6;50.5
"3811 Færder";"20-24 år";"Grunnskolenivå";31.4;31.8
"3811 Færder";"20-24 år";"Videregående skolenivå";40.3;57.1
"3811 Færder";"20-24 år";"Universitets- og høgskolenivå";:;:
"3811 Færder";"20-24 år";"Uoppgitt eller ingen fullført utdanning";23.1;23.1
"3811 Færder";"25-44 år";"Utdanningsnivå i alt";49.9;57.9
"3811 Færder";"25-44 år";"Grunnskolenivå";30.1;37.1
"3811 Færder";"25-44 år";"Videregående skolenivå";50.7;54.4
"3811 Færder";"25-44 år";"Universitets- og høgskolenivå";69.3;71.4
"3811 Færder";"25-44 år";"Uoppgitt eller ingen fullført utdanning";12.4;17.5
"3811 Færder";"45-66 år";"Utdanningsnivå i alt";70.9;73.8
"3811 Færder";"45-66 år";"Grunnskolenivå";52.7;52.0
"3811 Færder";"45-66 år";"Videregående skolenivå";70.0;71.8
"3811 Færder";"45-66 år";"Universitets- og høgskolenivå";83.5;84.6
"3811 Færder";"45-66 år";"Uoppgitt eller ingen fullført utdanning";18.1;22.2
"3811 Færder";"67-79 år";"Utdanningsnivå i alt";80.9;79.4
"3811 Færder";"67-79 år";"Grunnskolenivå";60.7;59.1
"3811 Færder";"67-79 år";"Videregående skolenivå";79.8;80.1
"3811 Færder";"67-79 år";"Universitets- og høgskolenivå";89.4;90.7
"3811 Færder";"67-79 år";"Uoppgitt eller ingen fullført utdanning";30.4;44.0
"3811 Færder";"80 år eller eldre";"Utdanningsnivå i alt";69.4;56.0
"3811 Færder";"80 år eller eldre";"Grunnskolenivå";53.6;41.3
"3811 Færder";"80 år eller eldre";"Videregående skolenivå";69.2;59.3
"3811 Færder";"80 år eller eldre";"Universitets- og høgskolenivå";80.5;71.0
"3811 Færder";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";..;36.4
"3812 Siljan";"Alder i alt";"Utdanningsnivå i alt";68.7;73.3
"3812 Siljan";"Alder i alt";"Grunnskolenivå";53.9;59.6
"3812 Siljan";"Alder i alt";"Videregående skolenivå";70.5;75.1
"3812 Siljan";"Alder i alt";"Universitets- og høgskolenivå";85.8;83.6
"3812 Siljan";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";42.9;50.0
"3812 Siljan";"18-19 år";"Utdanningsnivå i alt";65.6;83.3
"3812 Siljan";"18-19 år";"Grunnskolenivå";65.6;83.3
"3812 Siljan";"18-19 år";"Videregående skolenivå";.;.
"3812 Siljan";"18-19 år";"Universitets- og høgskolenivå";.;.
"3812 Siljan";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"3812 Siljan";"20-24 år";"Utdanningsnivå i alt";42.7;60.5
"3812 Siljan";"20-24 år";"Grunnskolenivå";37.5;45.5
"3812 Siljan";"20-24 år";"Videregående skolenivå";43.2;63.6
"3812 Siljan";"20-24 år";"Universitets- og høgskolenivå";:;:
"3812 Siljan";"20-24 år";"Uoppgitt eller ingen fullført utdanning";50.0;100.0
"3812 Siljan";"25-44 år";"Utdanningsnivå i alt";60.1;64.8
"3812 Siljan";"25-44 år";"Grunnskolenivå";45.1;49.1
"3812 Siljan";"25-44 år";"Videregående skolenivå";60.4;59.4
"3812 Siljan";"25-44 år";"Universitets- og høgskolenivå";77.4;77.3
"3812 Siljan";"25-44 år";"Uoppgitt eller ingen fullført utdanning";20.0;45.5
"3812 Siljan";"45-66 år";"Utdanningsnivå i alt";72.8;78.9
"3812 Siljan";"45-66 år";"Grunnskolenivå";41.5;61.9
"3812 Siljan";"45-66 år";"Videregående skolenivå";77.0;81.1
"3812 Siljan";"45-66 år";"Universitets- og høgskolenivå";88.9;87.7
"3812 Siljan";"45-66 år";"Uoppgitt eller ingen fullført utdanning";50.0;25.0
"3812 Siljan";"67-79 år";"Utdanningsnivå i alt";84.7;84.5
"3812 Siljan";"67-79 år";"Grunnskolenivå";80.7;62.5
"3812 Siljan";"67-79 år";"Videregående skolenivå";82.1;86.6
"3812 Siljan";"67-79 år";"Universitets- og høgskolenivå";96.4;100.0
"3812 Siljan";"67-79 år";"Uoppgitt eller ingen fullført utdanning";.;100.0
"3812 Siljan";"80 år eller eldre";"Utdanningsnivå i alt";75.9;64.3
"3812 Siljan";"80 år eller eldre";"Grunnskolenivå";70.4;58.0
"3812 Siljan";"80 år eller eldre";"Videregående skolenivå";76.9;72.4
"3812 Siljan";"80 år eller eldre";"Universitets- og høgskolenivå";:;:
"3812 Siljan";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";100.0;100.0
"3813 Bamble";"Alder i alt";"Utdanningsnivå i alt";60.3;63.4
"3813 Bamble";"Alder i alt";"Grunnskolenivå";45.7;51.1
"3813 Bamble";"Alder i alt";"Videregående skolenivå";62.2;64.4
"3813 Bamble";"Alder i alt";"Universitets- og høgskolenivå";79.6;78.6
"3813 Bamble";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";20.2;32.7
"3813 Bamble";"18-19 år";"Utdanningsnivå i alt";48.9;57.2
"3813 Bamble";"18-19 år";"Grunnskolenivå";49.1;57.5
"3813 Bamble";"18-19 år";"Videregående skolenivå";.;.
"3813 Bamble";"18-19 år";"Universitets- og høgskolenivå";.;.
"3813 Bamble";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;..
"3813 Bamble";"20-24 år";"Utdanningsnivå i alt";37.6;45.5
"3813 Bamble";"20-24 år";"Grunnskolenivå";32.6;38.3
"3813 Bamble";"20-24 år";"Videregående skolenivå";41.6;45.2
"3813 Bamble";"20-24 år";"Universitets- og høgskolenivå";:;:
"3813 Bamble";"20-24 år";"Uoppgitt eller ingen fullført utdanning";..;22.2
"3813 Bamble";"25-44 år";"Utdanningsnivå i alt";44.3;54.0
"3813 Bamble";"25-44 år";"Grunnskolenivå";31.5;37.6
"3813 Bamble";"25-44 år";"Videregående skolenivå";44.5;47.8
"3813 Bamble";"25-44 år";"Universitets- og høgskolenivå";64.3;71.5
"3813 Bamble";"25-44 år";"Uoppgitt eller ingen fullført utdanning";14.3;28.6
"3813 Bamble";"45-66 år";"Utdanningsnivå i alt";67.6;69.6
"3813 Bamble";"45-66 år";"Grunnskolenivå";52.3;53.5
"3813 Bamble";"45-66 år";"Videregående skolenivå";67.8;70.5
"3813 Bamble";"45-66 år";"Universitets- og høgskolenivå";84.8;83.7
"3813 Bamble";"45-66 år";"Uoppgitt eller ingen fullført utdanning";29.3;38.8
"3813 Bamble";"67-79 år";"Utdanningsnivå i alt";80.5;75.3
"3813 Bamble";"67-79 år";"Grunnskolenivå";64.9;63.6
"3813 Bamble";"67-79 år";"Videregående skolenivå";81.7;78.4
"3813 Bamble";"67-79 år";"Universitets- og høgskolenivå";91.9;89.7
"3813 Bamble";"67-79 år";"Uoppgitt eller ingen fullført utdanning";30.8;44.4
"3813 Bamble";"80 år eller eldre";"Utdanningsnivå i alt";65.5;52.8
"3813 Bamble";"80 år eller eldre";"Grunnskolenivå";51.0;46.4
"3813 Bamble";"80 år eller eldre";"Videregående skolenivå";74.8;58.5
"3813 Bamble";"80 år eller eldre";"Universitets- og høgskolenivå";78.4;67.7
"3813 Bamble";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;40.0
"3814 Kragerø";"Alder i alt";"Utdanningsnivå i alt";63.0;67.2
"3814 Kragerø";"Alder i alt";"Grunnskolenivå";46.4;51.1
"3814 Kragerø";"Alder i alt";"Videregående skolenivå";67.0;72.3
"3814 Kragerø";"Alder i alt";"Universitets- og høgskolenivå";79.3;78.8
"3814 Kragerø";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";29.3;30.7
"3814 Kragerø";"18-19 år";"Utdanningsnivå i alt";46.5;50.4
"3814 Kragerø";"18-19 år";"Grunnskolenivå";48.0;50.4
"3814 Kragerø";"18-19 år";"Videregående skolenivå";..;.
"3814 Kragerø";"18-19 år";"Universitets- og høgskolenivå";.;.
"3814 Kragerø";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;.
"3814 Kragerø";"20-24 år";"Utdanningsnivå i alt";38.2;44.2
"3814 Kragerø";"20-24 år";"Grunnskolenivå";32.4;33.8
"3814 Kragerø";"20-24 år";"Videregående skolenivå";40.4;49.6
"3814 Kragerø";"20-24 år";"Universitets- og høgskolenivå";:;:
"3814 Kragerø";"20-24 år";"Uoppgitt eller ingen fullført utdanning";50.0;..
"3814 Kragerø";"25-44 år";"Utdanningsnivå i alt";46.9;60.3
"3814 Kragerø";"25-44 år";"Grunnskolenivå";28.9;38.7
"3814 Kragerø";"25-44 år";"Videregående skolenivå";52.1;60.9
"3814 Kragerø";"25-44 år";"Universitets- og høgskolenivå";64.2;72.6
"3814 Kragerø";"25-44 år";"Uoppgitt eller ingen fullført utdanning";20.3;31.7
"3814 Kragerø";"45-66 år";"Utdanningsnivå i alt";68.6;72.5
"3814 Kragerø";"45-66 år";"Grunnskolenivå";50.5;54.1
"3814 Kragerø";"45-66 år";"Videregående skolenivå";70.3;76.1
"3814 Kragerø";"45-66 år";"Universitets- og høgskolenivå";83.3;83.5
"3814 Kragerø";"45-66 år";"Uoppgitt eller ingen fullført utdanning";32.5;36.4
"3814 Kragerø";"67-79 år";"Utdanningsnivå i alt";80.5;77.5
"3814 Kragerø";"67-79 år";"Grunnskolenivå";66.0;63.5
"3814 Kragerø";"67-79 år";"Videregående skolenivå";83.8;81.0
"3814 Kragerø";"67-79 år";"Universitets- og høgskolenivå";90.2;88.0
"3814 Kragerø";"67-79 år";"Uoppgitt eller ingen fullført utdanning";50.0;57.1
"3814 Kragerø";"80 år eller eldre";"Utdanningsnivå i alt";73.3;61.3
"3814 Kragerø";"80 år eller eldre";"Grunnskolenivå";60.8;50.3
"3814 Kragerø";"80 år eller eldre";"Videregående skolenivå";74.3;70.0
"3814 Kragerø";"80 år eller eldre";"Universitets- og høgskolenivå";90.6;73.9
"3814 Kragerø";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";66.7;..
"3815 Drangedal";"Alder i alt";"Utdanningsnivå i alt";64.5;70.0
"3815 Drangedal";"Alder i alt";"Grunnskolenivå";53.4;60.2
"3815 Drangedal";"Alder i alt";"Videregående skolenivå";69.0;72.0
"3815 Drangedal";"Alder i alt";"Universitets- og høgskolenivå";78.4;82.6
"3815 Drangedal";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";32.4;37.2
"3815 Drangedal";"18-19 år";"Utdanningsnivå i alt";39.3;55.1
"3815 Drangedal";"18-19 år";"Grunnskolenivå";39.3;55.1
"3815 Drangedal";"18-19 år";"Videregående skolenivå";.;.
"3815 Drangedal";"18-19 år";"Universitets- og høgskolenivå";.;.
"3815 Drangedal";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"3815 Drangedal";"20-24 år";"Utdanningsnivå i alt";41.5;47.3
"3815 Drangedal";"20-24 år";"Grunnskolenivå";40.0;48.2
"3815 Drangedal";"20-24 år";"Videregående skolenivå";45.2;49.3
"3815 Drangedal";"20-24 år";"Universitets- og høgskolenivå";:;:
"3815 Drangedal";"20-24 år";"Uoppgitt eller ingen fullført utdanning";50.0;..
"3815 Drangedal";"25-44 år";"Utdanningsnivå i alt";55.9;68.1
"3815 Drangedal";"25-44 år";"Grunnskolenivå";39.5;53.4
"3815 Drangedal";"25-44 år";"Videregående skolenivå";60.1;63.3
"3815 Drangedal";"25-44 år";"Universitets- og høgskolenivå";72.9;83.0
"3815 Drangedal";"25-44 år";"Uoppgitt eller ingen fullført utdanning";30.0;40.9
"3815 Drangedal";"45-66 år";"Utdanningsnivå i alt";70.0;74.4
"3815 Drangedal";"45-66 år";"Grunnskolenivå";57.4;62.1
"3815 Drangedal";"45-66 år";"Videregående skolenivå";73.5;77.5
"3815 Drangedal";"45-66 år";"Universitets- og høgskolenivå";85.5;82.2
"3815 Drangedal";"45-66 år";"Uoppgitt eller ingen fullført utdanning";30.0;41.7
"3815 Drangedal";"67-79 år";"Utdanningsnivå i alt";78.9;79.6
"3815 Drangedal";"67-79 år";"Grunnskolenivå";70.9;72.4
"3815 Drangedal";"67-79 år";"Videregående skolenivå";83.0;82.1
"3815 Drangedal";"67-79 år";"Universitets- og høgskolenivå";86.1;93.3
"3815 Drangedal";"67-79 år";"Uoppgitt eller ingen fullført utdanning";50.0;25.0
"3815 Drangedal";"80 år eller eldre";"Utdanningsnivå i alt";68.4;58.5
"3815 Drangedal";"80 år eller eldre";"Grunnskolenivå";68.9;54.3
"3815 Drangedal";"80 år eller eldre";"Videregående skolenivå";69.6;64.3
"3815 Drangedal";"80 år eller eldre";"Universitets- og høgskolenivå";:;:
"3815 Drangedal";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;50.0
"3816 Nome";"Alder i alt";"Utdanningsnivå i alt";60.8;65.6
